ano_ocorrencia,mes_ocorrencia,subprefeitura_geosampa,subtracoes_total,roubos,furtos
2025,8,SANTANA-TUCURUVI,366,103,263
2025,8,SANTO AMARO,451,165,286
2025,8,SAO MATEUS,208,119,89
2025,8,SAO MIGUEL,189,70,119
2025,8,SAPOPEMBA,66,44,22
2025,8,SE,2163,500,1663
2025,8,VILA MARIA-VILA GUILHERME,205,68,137
2025,8,VILA MARIANA,491,150,341
2025,8,VILA PRUDENTE,147,61,86
2025,9,ARICANDUVA-FORMOSA-CARRAO,99,33,66
2025,9,BUTANTA,462,176,286
2025,9,CAMPO LIMPO,597,416,181
2025,9,CAPELA DO SOCORRO,1059,182,877
2025,9,CASA VERDE-LIMAO-CACHOEIRINHA,195,76,119
2025,9,CIDADE ADEMAR,189,118,71
2025,9,CIDADE TIRADENTES,71,38,33
2025,9,ERMELINO MATARAZZO,71,36,35
2025,9,FREGUESIA-BRASILANDIA,168,69,99
2025,9,GUAIANASES,173,99,74
2025,9,IPIRANGA,315,109,206
2025,9,ITAIM PAULISTA,122,59,63
2025,9,ITAQUERA,331,137,194
2025,9,JABAQUARA,124,61,63
2025,9,JACANA-TREMEMBE,103,35,68
2025,9,LAPA,607,170,437
2025,9,M BOI MIRIM,354,246,108
2025,9,MOOCA,812,209,605
2025,9,PARELHEIROS,46,31,15
2025,9,PENHA,243,107,136
2025,9,PERUS-ANHANGUERA,93,40,53
2025,9,PINHEIROS,1100,321,779
2025,9,PIRITUBA-JARAGUA,207,103,104
2025,9,SANTANA-TUCURUVI,352,88,264
2025,9,SANTO AMARO,474,193,281
2025,9,SAO MATEUS,194,99,95
2025,9,SAO MIGUEL,200,84,116
2025,9,SAPOPEMBA,85,45,40
2025,9,SE,1967,458,1509
2025,9,VILA MARIA-VILA GUILHERME,274,84,190
2025,9,VILA MARIANA,481,151,330
2025,9,VILA PRUDENTE,150,73,77
2025,10,ARICANDUVA-FORMOSA-CARRAO,118,40,78
2025,10,BUTANTA,416,202,214
2025,10,CAMPO LIMPO,588,410,179
2025,10,CAPELA DO SOCORRO,284,160,124
2025,10,CASA VERDE-LIMAO-CACHOEIRINHA,216,74,142
2025,10,CIDADE ADEMAR,168,85,83
2025,10,CIDADE TIRADENTES,94,55,39
2025,10,ERMELINO MATARAZZO,62,27,35
2025,10,FREGUESIA-BRASILANDIA,180,87,93
2025,10,GUAIANASES,169,74,95
2025,10,IPIRANGA,354,124,230
2025,10,ITAIM PAULISTA,133,66,67
2025,10,ITAQUERA,251,117,134
2025,10,JABAQUARA,121,52,69
2025,10,JACANA-TREMEMBE,87,32,55
2025,10,LAPA,618,208,410
2025,10,M BOI MIRIM,405,283,122
2025,10,MOOCA,985,224,761
2025,10,PARELHEIROS,50,31,19
2025,10,PENHA,258,131,127
2025,10,PERUS-ANHANGUERA,81,43,38
2025,10,PINHEIROS,1096,336,760
2025,10,PIRITUBA-JARAGUA,205,97,108
2025,10,SANTANA-TUCURUVI,355,122,233
2025,10,SANTO AMARO,380,137,243
2025,10,SAO MATEUS,185,99,86
2025,10,SAO MIGUEL,213,93,120
2025,10,SAPOPEMBA,62,28,34
2025,10,SE,1936,472,1465
2025,10,VILA MARIA-VILA GUILHERME,195,72,123
2025,10,VILA MARIANA,515,166,349
2025,10,VILA PRUDENTE,93,37,56
2025,11,ARICANDUVA-FORMOSA-CARRAO,111,40,71
2025,11,BUTANTA,491,158,333
2025,11,CAMPO LIMPO,496,331,165
2025,11,CAPELA DO SOCORRO,299,161,138
2025,11,CASA VERDE-LIMAO-CACHOEIRINHA,210,79,131
2025,11,CIDADE ADEMAR,162,93,69
2025,11,CIDADE TIRADENTES,84,44,40
2025,11,ERMELINO MATARAZZO,79,36,43
2025,11,FREGUESIA-BRASILANDIA,197,89,108
2025,11,GUAIANASES,143,67,76
2025,11,IPIRANGA,349,129,220
2025,11,ITAIM PAULISTA,139,65,74
2025,11,ITAQUERA,255,114,141
2025,11,JABAQUARA,111,47,64
2025,11,JACANA-TREMEMBE,66,33,33
2025,11,LAPA,625,172,454
2025,11,M BOI MIRIM,326,234,92
2025,11,MOOCA,911,185,726
2025,11,PARELHEIROS,40,24,16
2025,11,PENHA,231,96,135
2025,11,PERUS-ANHANGUERA,71,32,39
2025,11,PINHEIROS,1153,380,773
2025,11,PIRITUBA-JARAGUA,208,117,91
2025,11,SANTANA-TUCURUVI,304,108,196
2025,11,SANTO AMARO,406,138,268
2025,11,SAO MATEUS,185,101,84
2025,11,SAO MIGUEL,190,78,112
2025,11,SAPOPEMBA,68,36,32
2025,11,SE,1913,421,1492
2025,11,VILA MARIA-VILA GUILHERME,187,54,133
2025,11,VILA MARIANA,554,161,393
2025,11,VILA PRUDENTE,131,62,69
2025,12,ARICANDUVA-FORMOSA-CARRAO,137,65,72
2025,12,BUTANTA,282,146,136
2025,12,CAMPO LIMPO,451,341,111
2025,12,CAPELA DO SOCORRO,204,111,93
2025,12,CASA VERDE-LIMAO-CACHOEIRINHA,144,49,95
2025,12,CIDADE ADEMAR,162,86,76
2025,12,CIDADE TIRADENTES,67,42,25
2025,12,ERMELINO MATARAZZO,64,30,34
2025,12,FREGUESIA-BRASILANDIA,173,103,70
2025,12,GUAIANASES,140,62,78
2025,12,IPIRANGA,342,148,194
2025,12,ITAIM PAULISTA,134,65,69
2025,12,ITAQUERA,246,105,141
2025,12,JABAQUARA,102,42,60
2025,12,JACANA-TREMEMBE,79,29,50
2025,12,LAPA,553,209,344
2025,12,M BOI MIRIM,302,212,90
2025,12,MOOCA,980,190,791
2025,12,PARELHEIROS,40,26,14
2025,12,PENHA,244,122,122
2025,12,PERUS-ANHANGUERA,55,26,29
2025,12,PINHEIROS,1029,336,694
2025,12,PIRITUBA-JARAGUA,167,99,68
2025,12,SANTANA-TUCURUVI,289,111,178
2025,12,SANTO AMARO,434,176,258
2025,12,SAO MATEUS,207,103,104
2025,12,SAO MIGUEL,193,71,122
2025,12,SAPOPEMBA,82,42,40
2025,12,SE,1918,474,1446
2025,12,VILA MARIA-VILA GUILHERME,182,80,102
2025,12,VILA MARIANA,422,128,294
2025,12,VILA PRUDENTE,112,50,62
