ano_ocorrencia,mes_ocorrencia,distrito_geosampa,subtracoes_total,roubos,furtos
2025,3,SAO LUCAS,44,28,16
2025,3,SAO MATEUS,136,82,54
2025,3,SAO MIGUEL,82,39,43
2025,3,SAO RAFAEL,52,38,14
2025,3,SAPOPEMBA,86,63,23
2025,3,SAUDE,98,57,41
2025,3,SE,323,100,223
2025,3,SOCORRO,50,23,27
2025,3,TATUAPE,209,80,129
2025,3,TREMEMBE,69,24,45
2025,3,TUCURUVI,72,26,46
2025,3,VILA ANDRADE,67,48,19
2025,3,VILA CURUCA,91,61,30
2025,3,VILA FORMOSA,52,24,28
2025,3,VILA GUILHERME,96,25,71
2025,3,VILA JACUI,70,40,30
2025,3,VILA LEOPOLDINA,56,23,33
2025,3,VILA MARIA,100,62,38
2025,3,VILA MARIANA,352,79,273
2025,3,VILA MATILDE,58,36,22
2025,3,VILA MEDEIROS,44,19,25
2025,3,VILA PRUDENTE,102,63,39
2025,3,VILA SONIA,65,34,31
2025,4,AGUA RASA,48,28,20
2025,4,ALTO DE PINHEIROS,24,9,15
2025,4,ANHANGUERA,24,9,15
2025,4,ARICANDUVA,44,25,19
2025,4,ARTUR ALVIM,47,24,24
2025,4,BARRA FUNDA,212,55,157
2025,4,BELA VISTA,180,42,138
2025,4,BELEM,110,26,84
2025,4,BOM RETIRO,218,48,170
2025,4,BRAS,260,63,197
2025,4,BRASILANDIA,83,44,39
2025,4,BUTANTA,97,38,59
2025,4,CACHOEIRINHA,68,22,46
2025,4,CAMBUCI,82,21,61
2025,4,CAMPO BELO,59,32,27
2025,4,CAMPO GRANDE,78,43,35
2025,4,CAMPO LIMPO,163,131,32
2025,4,CANGAIBA,66,35,31
2025,4,CAPAO REDONDO,247,179,68
2025,4,CARRAO,28,17,11
2025,4,CASA VERDE,69,32,37
2025,4,CIDADE ADEMAR,129,57,72
2025,4,CIDADE DUTRA,116,60,56
2025,4,CIDADE LIDER,48,27,21
2025,4,CIDADE TIRADENTES,125,82,43
2025,4,CONSOLACAO,273,66,207
2025,4,CURSINO,74,50,24
2025,4,ERMELINO MATARAZZO,63,34,29
2025,4,FREGUESIA DO O,93,51,42
2025,4,GRAJAU,153,81,72
2025,4,GUAIANASES,87,45,42
2025,4,IGUATEMI,52,34,18
2025,4,IPIRANGA,176,87,89
2025,4,ITAIM BIBI,323,98,225
2025,4,ITAIM PAULISTA,108,62,46
2025,4,ITAQUERA,144,77,67
2025,4,JABAQUARA,137,65,72
2025,4,JACANA,49,26,23
2025,4,JAGUARA,23,11,12
2025,4,JAGUARE,32,15,17
2025,4,JARAGUA,81,58,23
2025,4,JARDIM ANGELA,145,103,42
2025,4,JARDIM HELENA,50,27,23
2025,4,JARDIM PAULISTA,140,32,108
2025,4,JARDIM SAO LUIS,144,87,57
2025,4,JOSE BONIFACIO,53,25,28
2025,4,LAJEADO,93,68,25
2025,4,LAPA,163,52,111
2025,4,LIBERDADE,206,36,170
2025,4,LIMAO,94,30,64
2025,4,MANDAQUI,32,11,21
2025,4,MARSILAC,1,1,0
2025,4,MOEMA,142,43,99
2025,4,MOOCA,86,19,67
2025,4,MORUMBI,89,22,67
2025,4,PARELHEIROS,52,32,20
2025,4,PARI,94,31,63
2025,4,PARQUE DO CARMO,43,25,18
2025,4,PEDREIRA,62,44,18
2025,4,PENHA,88,44,44
2025,4,PERDIZES,133,39,94
2025,4,PERUS,79,32,47
2025,4,PINHEIROS,291,97,194
2025,4,PIRITUBA,80,36,44
2025,4,PONTE RASA,22,12,10
2025,4,RAPOSO TAVARES,59,50,9
2025,4,REPUBLICA,388,95,293
2025,4,RIO PEQUENO,72,50,22
2025,4,SACOMA,114,71,43
2025,4,SANTA CECILIA,223,45,178
2025,4,SANTANA,224,50,174
2025,4,SANTO AMARO,244,55,189
2025,4,SAO DOMINGOS,43,18,25
2025,4,SAO LUCAS,62,43,20
2025,4,SAO MATEUS,152,89,63
2025,4,SAO MIGUEL,104,39,65
2025,4,SAO RAFAEL,58,42,16
2025,4,SAPOPEMBA,82,60,22
2025,4,SAUDE,96,62,34
2025,4,SE,292,81,212
2025,4,SOCORRO,35,15,20
2025,4,TATUAPE,182,63,119
2025,4,TREMEMBE,72,39,33
2025,4,TUCURUVI,42,18,24
2025,4,VILA ANDRADE,66,39,27
2025,4,VILA CURUCA,79,47,32
2025,4,VILA FORMOSA,41,21,20
2025,4,VILA GUILHERME,103,19,84
2025,4,VILA JACUI,79,43,36
2025,4,VILA LEOPOLDINA,61,25,37
2025,4,VILA MARIA,108,54,54
2025,4,VILA MARIANA,221,73,148
2025,4,VILA MATILDE,55,33,22
2025,4,VILA MEDEIROS,43,21,22
2025,4,VILA PRUDENTE,131,78,54
2025,4,VILA SONIA,73,32,41
2025,5,AGUA RASA,35,16,19
2025,5,ALTO DE PINHEIROS,33,9,24
2025,5,ANHANGUERA,29,12,17
2025,5,ARICANDUVA,42,22,20
2025,5,ARTUR ALVIM,54,35,19
2025,5,BARRA FUNDA,241,50,191
2025,5,BELA VISTA,257,48,210
2025,5,BELEM,99,20,79
2025,5,BOM RETIRO,214,60,154
2025,5,BRAS,290,67,223
2025,5,BRASILANDIA,96,54,42
2025,5,BUTANTA,125,39,86
2025,5,CACHOEIRINHA,64,18,46
2025,5,CAMBUCI,114,33,81
2025,5,CAMPO BELO,65,21,44
2025,5,CAMPO GRANDE,104,61,43
2025,5,CAMPO LIMPO,178,153,25
2025,5,CANGAIBA,50,21,29
2025,5,CAPAO REDONDO,309,217,92
2025,5,CARRAO,31,18,13
2025,5,CASA VERDE,67,18,49
2025,5,CIDADE ADEMAR,102,53,49
2025,5,CIDADE DUTRA,255,72,183
2025,5,CIDADE LIDER,42,25,17
2025,5,CIDADE TIRADENTES,93,57,36
2025,5,CONSOLACAO,298,50,248
2025,5,CURSINO,111,65,46
2025,5,ERMELINO MATARAZZO,36,21,15
2025,5,FREGUESIA DO O,96,42,54
2025,5,GRAJAU,185,97,88
